"state","county","Obama","Romney","winner","total","margin","turnout"
"AR","Union",36,62.3,"Romney",16878,26.3,1.7
"AR","Van Buren",28.4,67.9,"Romney",6188,39.5,3.69999999999999
"AR","Washington",40.1,56.3,"Romney",67706,16.2,3.6
"AR","White",21.7,75.5,"Romney",25770,53.8,2.8
"AR","Woodruff",49.9,45.7,"Obama",2567,4.2,4.4
"AR","Yell",28.8,67.7,"Romney",5761,38.9,3.5
"AZ","Apache",66.1,32.2,"Obama",25031,33.9,1.7
"AZ","Cochise",37.1,61.1,"Romney",42965,24,1.8
"AZ","Coconino",56.3,41.4,"Obama",45684,14.9,2.3
"AZ","Gila",36,62.4,"Romney",18175,26.4,1.6
"AZ","Graham",30.4,68.1,"Romney",11684,37.7,1.5
"AZ","Greenlee",44.1,53.5,"Romney",2900,9.4,2.4
"AZ","La Paz",32.9,65.1,"Romney",4824,32.2,2
"AZ","Maricopa",43.1,55.2,"Romney",1166843,12.1,1.7
"AZ","Mohave",27.8,70.4,"Romney",64766,42.6,1.8
"AZ","Navajo",45.2,53.5,"Romney",35312,8.3,1.3
"AZ","Pima",52.1,46.3,"Obama",346397,5.8,1.6
"AZ","Pinal",40.6,57.7,"Romney",100375,17.1,1.7
"AZ","Santa Cruz",68.3,30.5,"Obama",13721,37.8,1.2
"AZ","Yavapai",33.7,64.5,"Romney",95009,30.8,1.8
"AZ","Yuma",41.3,57.5,"Romney",33525,16.2,1.2
"CA","Alameda",78.5,18.7,"Obama",542421,59.8,2.8
"CA","Alpine",60.1,36.5,"Obama",625,23.6,3.4
"CA","Amador",39.2,58.2,"Romney",14904,19,2.59999999999999
"CA","Butte",46.4,50.3,"Romney",67879,3.9,3.3
"CA","Calaveras",40.1,57.1,"Romney",17941,17,2.8
"CA","Colusa",38.3,60,"Romney",5769,21.7,1.7
"CA","Contra Costa",65.7,32,"Obama",343373,33.7,2.3
"CA","Del Norte",42.8,53.6,"Romney",7652,10.8,3.6
"CA","El Dorado",39.6,57.8,"Romney",83694,18.2,2.6
"CA","Fresno",47.6,50.6,"Romney",177005,3,1.8
"CA","Glenn",35.8,61.3,"Romney",8884,25.5,2.90000000000001
"CA","Humboldt",60,33.8,"Obama",43410,26.2,6.2
"CA","Imperial",63.6,34.8,"Obama",27009,28.8,1.6
"CA","Inyo",42.7,54.5,"Romney",6316,11.8,2.8
"CA","Kern",38.5,59.4,"Romney",164530,20.9,2.1
"CA","Kings",40.8,57,"Romney",29466,16.2,2.2
"CA","Lake",56.3,39.8,"Obama",15633,16.5,3.90000000000001
"CA","Lassen",28.7,68.5,"Romney",10305,39.8,2.8
"CA","Los Angeles",68.9,28.8,"Obama",2371764,40.1,2.29999999999999
"CA","Madera",39.2,58.7,"Romney",31688,19.5,2.09999999999999
"CA","Marin",74,23.5,"Obama",96797,50.5,2.5
"CA","Mariposa",39.5,56.8,"Romney",7514,17.3,3.7
"CA","Mendocino",66.2,28.6,"Obama",16998,37.6,5.2
"CA","Merced",51.7,46.3,"Obama",49531,5.40000000000001,2
"CA","Modoc",27.9,69.7,"Romney",3892,41.8,2.39999999999999
"CA","Mono",52.3,44.8,"Obama",4776,7.5,2.90000000000001
"CA","Monterey",65.9,31.9,"Obama",76799,34,2.2
"CA","Napa",61.7,36,"Obama",31611,25.7,2.3
"CA","Nevada",46.2,50.9,"Romney",29957,4.7,2.9
"CA","Orange",44.8,53,"Romney",998669,8.2,2.2
"CA","Placer",38.9,58.9,"Romney",123586,20,2.2
"CA","Plumas",40.2,57.4,"Romney",8910,17.2,2.4
"CA","Riverside",48.8,49.2,"Romney",577981,0.400000000000006,2
"CA","Sacramento",57,40.6,"Obama",378751,16.4,2.4
"CA","San Benito",57.6,40.4,"Obama",14669,17.2,2
"CA","San Bernardino",51.6,46.2,"Obama",519671,5.4,2.2
"CA","San Diego",51.5,46.4,"Obama",909432,5.1,2.1
"CA","San Francisco",83.4,13.3,"Obama",310511,70.1,3.29999999999999
"CA","San Joaquin",53.5,44.6,"Obama",146747,8.9,1.9
"CA","San Luis Obispo",49,48,"Obama",114155,1,3
"CA","San Mateo",71.3,26.6,"Obama",207280,44.7,2.1
"CA","Santa Barbara",57.2,40.1,"Obama",143375,17.1,2.7
"CA","Santa Clara",69.8,27.7,"Obama",479586,42.1,2.5
"CA","Santa Cruz",75.2,21.1,"Obama",78238,54.1,3.7
"CA","Shasta",33.6,63.9,"Romney",52745,30.3,2.50000000000001
"CA","Sierra",36.6,59.4,"Romney",1708,22.8,4
"CA","Siskiyou",40.6,56.2,"Romney",16954,15.6,3.2
"CA","Solano",62.9,34.9,"Obama",135589,28,2.2
"CA","Sonoma",70.8,26,"Obama",170170,44.8,3.2
"CA","Stanislaus",49.2,48.4,"Obama",140158,0.800000000000004,2.4
"CA","Sutter",38.1,59.9,"Romney",20580,21.8,2
"CA","Tehama",34.8,62.2,"Romney",16823,27.4,3
"CA","Trinity",47.1,48.2,"Romney",4789,1.1,4.7
"CA","Tulare",40.1,57.9,"Romney",71377,17.8,2
"CA","Tuolumne",40.6,56.5,"Romney",23038,15.9,2.9
"CA","Ventura",51.6,46.3,"Obama",262038,5.3,2.1
"CA","Yolo",65.2,32,"Obama",57936,33.2,2.8
"CA","Yuba",38.8,58.3,"Romney",14563,19.5,2.90000000000001
"DE","Kent",51.7,46.8,"Obama",67659,4.90000000000001,1.5
"DE","New Castle",66.3,32.2,"Obama",248277,34.1,1.5
"DE","Sussex",42.9,55.9,"Romney",92087,13,1.2
"HI","Honolulu",68.9,29.8,"Obama",289058,39.1,1.29999999999999
"HI","Kauai",73.5,24.1,"Obama",24759,49.4,2.4
"HI","Maui",74.1,23.8,"Obama",47556,50.3,2.1
"IA","Adair",45.2,53.3,"Romney",3898,8.09999999999999,1.5
"IA","Adams",47.2,51.1,"Romney",2121,3.9,1.7
"IA","Allamakee",51.5,47.3,"Obama",6741,4.2,1.2
"IA","Appanoose",47.5,51.1,"Romney",6087,3.6,1.4
"IA","Audubon",46.8,52.3,"Romney",3408,5.5,0.900000000000006
"IA","Benton",49.1,49.7,"Romney",13785,0.600000000000001,1.2
"IA","Black Hawk",59.4,39.4,"Obama",65416,20,1.2
"IA","Boone",52.4,45.9,"Obama",13997,6.5,1.7
"IA","Bremer",50.8,48.3,"Obama",13093,2.5,0.900000000000006
"IA","Buchanan",56.3,42.4,"Obama",10346,13.9,1.3
"IA","Buena Vista",44.3,54.7,"Romney",8231,10.4,1
"IA","Butler",44.2,54.6,"Romney",7425,10.4,1.2
"IA","Calhoun",43,55.7,"Romney",5122,12.7,1.3
"IA","Carroll",46.4,52.7,"Romney",10489,6.3,0.899999999999999
"IA","Cass",39.8,58.8,"Romney",7068,19,1.40000000000001
"IA","Cedar",51.6,47.2,"Obama",9441,4.4,1.2
"IA","Cerro Gordo",56.1,42.8,"Obama",23288,13.3,1.1
"IA","Cherokee",41.2,57.4,"Romney",6279,16.2,1.4
"IA","Chickasaw",55,43.9,"Obama",6388,11.1,1.1
"IA","Clarke",49.7,48.3,"Obama",4311,1.40000000000001,2
"IA","Clay",40,58.7,"Romney",8297,18.7,1.3
"IA","Clayton",52.8,45.9,"Obama",8914,6.9,1.3
"IA","Clinton",60.8,37.9,"Obama",24546,22.9,1.3
"IA","Crawford",45.4,53.6,"Romney",6619,8.2,1
"IA","Dallas",43.6,55.3,"Romney",37387,11.7,1.1
"IA","Davis",40.6,57.1,"Romney",3651,16.5,2.3
"IA","Decatur",47,51,"Romney",3735,4,2
"IA","Delaware",49.4,49.6,"Romney",9233,0.200000000000003,1
"IA","Des Moines",58.6,40.1,"Obama",20003,18.5,1.3
"IA","Dickinson",40.4,58.4,"Romney",9999,18,1.2
"IA","Dubuque",56.6,42.1,"Obama",49865,14.5,1.3
"IA","Emmet",44.9,53.8,"Romney",4586,8.9,1.3
"IA","Fayette",55.4,43.5,"Obama",10193,11.9,1.1
"IA","Floyd",56.8,42.1,"Obama",8140,14.7,1.1
"IA","Franklin",44,54.9,"Romney",5074,10.9,1.1
"IA","Fremont",44.8,53.9,"Romney",3607,9.1,1.3
"IA","Greene",49.3,49.4,"Romney",4742,0.100000000000001,1.3
"IA","Grundy",38,61,"Romney",6820,23,1
"IA","Guthrie",43.9,54.2,"Romney",5729,10.3,1.9
"IA","Hamilton",48,50.6,"Romney",7762,2.6,1.4
"IA","Hancock",42.6,56.2,"Romney",5812,13.6,1.2
"IA","Hardin",45.8,53,"Romney",8668,7.2,1.2
"IA","Harrison",43,55.7,"Romney",7190,12.7,1.3
"IA","Henry",46.3,52.3,"Romney",9476,6,1.40000000000001
"IA","Howard",59.8,38.8,"Obama",4560,21,1.40000000000001
"IA","Humboldt",38.4,60.5,"Romney",5066,22.1,1.1
"IA","Ida",36.3,62.8,"Romney",3593,26.5,0.900000000000006
"IA","Jackson",57.8,41,"Obama",10048,16.8,1.2
"IA","Jasper",52.8,45.7,"Obama",19108,7.09999999999999,1.5
"IA","Jefferson",56.8,40.8,"Obama",8201,16,2.40000000000001
"IA","Johnson",66.9,31.4,"Obama",73646,35.5,1.7
"IA","Jones",53.2,45.4,"Obama",10226,7.8,1.4
"IA","Keokuk",44,54.4,"Romney",5138,10.4,1.6
"IA","Kossuth",43.3,55.6,"Romney",8738,12.3,1.1
"IA","Lee",57.2,41.2,"Obama",16215,16,1.59999999999999
"IA","Linn",58.1,40.5,"Obama",115455,17.6,1.4
"IA","Louisa",49.8,49.1,"Obama",4865,0.699999999999996,1.1
"IA","Lucas",46.3,52.6,"Romney",4225,6.3,1.1
"IA","Lyon",21.9,76.8,"Romney",6381,54.9,1.3
"IA","Madison",43.1,55.2,"Romney",8000,12.1,1.7
"IA","Mahaska",39,59.6,"Romney",10627,20.6,1.4
"IA","Marion",42.6,55.9,"Romney",17288,13.3,1.5
"IA","Marshall",53.9,44.9,"Obama",18496,9,1.2
"IA","Mills",39.6,58.7,"Romney",7053,19.1,1.7
"IA","Mitchell",50.7,47.4,"Obama",5474,3.3,1.9
"IA","Monona",44.6,54.3,"Romney",4653,9.7,1.1
"IA","Monroe",45.5,53.2,"Romney",3751,7.7,1.3
"IA","Montgomery",38.4,60,"Romney",4918,21.6,1.6
"IA","Muscatine",56.8,41.3,"Obama",19365,15.5,1.90000000000001
"IA","O'Brien",26.9,72.1,"Romney",7223,45.2,1
"IA","Osceola",28.6,70,"Romney",3134,41.4,1.40000000000001
"IA","Page",36.9,61.8,"Romney",6926,24.9,1.3
"IA","Palo Alto",43.7,54.5,"Romney",4773,10.8,1.8
"IA","Plymouth",32.1,66.4,"Romney",12725,34.3,1.5
"IA","Pocahontas",38,59.8,"Romney",3906,21.8,2.2
"IA","Polk",56.4,42.2,"Obama",224293,14.2,1.4
"IA","Pottawattamie",46.4,52.2,"Romney",41098,5.8,1.4
"IA","Poweshiek",53.8,44.7,"Obama",9716,9.09999999999999,1.5
"IA","Ringgold",45.8,53,"Romney",2547,7.2,1.2
"IA","Sac",40.3,58.7,"Romney",5203,18.4,1
"IA","Scott",56.3,42.6,"Obama",88804,13.7,1.1
"IA","Shelby",38.2,60.5,"Romney",6371,22.3,1.3
"IA","Sioux",15.6,83.6,"Romney",17044,68,0.800000000000011
"IA","Story",55.8,42,"Obama",45497,13.8,2.2
"IA","Tama",53,45.6,"Obama",8813,7.4,1.4
"IA","Taylor",42.3,56.4,"Romney",2941,14.1,1.3
"IA","Union",51.3,47.5,"Obama",5829,3.8,1.2
"IA","Van Buren",39.5,58.1,"Romney",3456,18.6,2.4
"IA","Wapello",55.1,43.4,"Obama",15393,11.7,1.5
"IA","Warren",48.4,50.4,"Romney",25552,2,1.2
"IA","Washington",46.7,50.9,"Romney",10621,4.2,2.4
"IA","Wayne",43.3,54.9,"Romney",2834,11.6,1.8
"IA","Webster",52.2,46.7,"Obama",17911,5.5,1.09999999999999
"IA","Winnebago",49.3,49.3,"Obama",5792,0,1.40000000000001
"IA","Winneshiek",56.7,41.9,"Obama",10863,14.8,1.4
"IA","Woodbury",49.3,49.5,"Romney",44162,0.200000000000003,1.2
"IA","Worth",56.6,42.1,"Obama",4086,14.5,1.3
"IA","Wright",45.3,53.6,"Romney",6103,8.3,1.1
"ID","Ada",42.7,54,"Romney",174514,11.3,3.3
"ID","Adams",28,68.6,"Romney",1990,40.6,3.40000000000001
"ID","Bannock",37.5,59.6,"Romney",34224,22.1,2.9
"ID","Bear Lake",10.7,88.2,"Romney",2791,77.5,1.09999999999999
"ID","Benewah",30,66.8,"Romney",3760,36.8,3.2
"ID","Bingham",21.7,76.4,"Romney",17262,54.7,1.89999999999999
"ID","Blaine",58.8,38.6,"Obama",9931,20.2,2.6
"ID","Boise",28.5,68.3,"Romney",3237,39.8,3.2
"ID","Bonner",35.1,61.3,"Romney",17867,26.2,3.60000000000001
"ID","Bonneville",22.9,74.7,"Romney",42265,51.8,2.39999999999999
"ID","Boundary",27,69.1,"Romney",4363,42.1,3.90000000000001
"ID","Butte",20.1,77.8,"Romney",1259,57.7,2.10000000000001
"ID","Camas",27.5,69.6,"Romney",561,42.1,2.90000000000001
"ID","Canyon",30.1,67.1,"Romney",64235,37,2.80000000000001
"ID","Caribou",12.6,85.5,"Romney",2993,72.9,1.90000000000001
"ID","Cassia",13,85.3,"Romney",8243,72.3,1.7
"ID","Clark",20.1,71.6,"Romney",301,51.5,8.30000000000001
"ID","Clearwater",27.9,68.8,"Romney",3573,40.9,3.3
"ID","Custer",22.5,74.1,"Romney",2274,51.6,3.40000000000001
"ID","Elmore",31.4,65.3,"Romney",7740,33.9,3.3
"ID","Franklin",5.8,92.8,"Romney",5520,87,1.40000000000001
"ID","Fremont",14,84.6,"Romney",5717,70.6,1.40000000000001
"ID","Gem",26.1,70.9,"Romney",7268,44.8,3
"ID","Gooding",25.1,72.2,"Romney",4983,47.1,2.7
"ID","Idaho County",22.2,75.1,"Romney",7543,52.9,2.7
"ID","Jefferson",11.4,86.9,"Romney",11198,75.5,1.69999999999999
"ID","Jerome",25.4,71.9,"Romney",6503,46.5,2.69999999999999
"ID","Kootenai",31.5,65.8,"Romney",58171,34.3,2.7
"ID","Latah",49.6,45.3,"Obama",15895,4.3,5.1
"ID","Lemhi",23.4,73.7,"Romney",3989,50.3,2.89999999999999
"ID","Lewis",24.6,72.8,"Romney",1569,48.2,2.60000000000001
"ID","Lincoln",26.4,70.3,"Romney",1570,43.9,3.3
"ID","Madison",5.8,93.3,"Romney",14277,87.5,0.900000000000006
"ID","Minidoka",19.9,78,"Romney",6832,58.1,2.09999999999999
"ID","Nez Perce",38.3,59.2,"Romney",16418,20.9,2.5
"ID","Oneida",10.4,88,"Romney",2055,77.6,1.59999999999999
"ID","Owyhee",22.4,75,"Romney",3627,52.6,2.59999999999999
"ID","Payette",26.7,70.7,"Romney",8275,44,2.59999999999999
"ID","Power",33.8,64.4,"Romney",2852,30.6,1.8
"ID","Shoshone",44.2,52.4,"Romney",4976,8.2,3.4
"ID","Teton",42.6,54.3,"Romney",4384,11.7,3.1
"ID","Twin Falls",26.8,70.3,"Romney",27314,43.5,2.90000000000001
"ID","Valley",42.6,54.2,"Romney",4759,11.6,3.2
