지역,년도,범죄,발생,검거,검거율
용산구,2012,살인,7,8,1
용산구,2013,살인,4,5,1
용산구,2014,살인,1,2,1
용산구,2015,살인,5,5,1
은평구,2010,살인,11,12,1
은평구,2011,살인,14,12,0.857142857
은평구,2012,살인,7,7,1
은평구,2013,살인,9,9,1
은평구,2014,살인,5,3,0.6
은평구,2015,살인,3,3,1
종로구,2010,살인,7,5,0.714285714
종로구,2011,살인,8,7,0.875
종로구,2012,살인,4,3,0.75
종로구,2013,살인,4,2,0.5
종로구,2014,살인,3,2,0.666666667
종로구,2015,살인,6,5,0.833333333
중구,2010,살인,8,8,1
중구,2011,살인,3,5,1
중구,2012,살인,5,6,1
중구,2013,살인,1,1,1
중구,2014,살인,6,5,0.833333333
중구,2015,살인,3,2,0.666666667
중랑구,2010,살인,13,14,1
중랑구,2011,살인,10,10,1
중랑구,2012,살인,9,9,1
중랑구,2013,살인,6,6,1
중랑구,2014,살인,11,10,0.909090909
중랑구,2015,살인,13,12,0.923076923
강남구,2010,강도,84,65,0.773809524
강남구,2011,강도,73,55,0.753424658
강남구,2012,강도,48,36,0.75
강남구,2013,강도,31,19,0.612903226
강남구,2014,강도,37,29,0.783783784
강남구,2015,강도,21,18,0.857142857
강동구,2010,강도,38,37,0.973684211
강동구,2011,강도,36,31,0.861111111
강동구,2012,강도,21,19,0.904761905
강동구,2013,강도,17,11,0.647058824
강동구,2014,강도,10,8,0.8
강동구,2015,강도,6,8,1
강북구,2010,강도,37,30,0.810810811
강북구,2011,강도,30,18,0.6
강북구,2012,강도,23,23,1
강북구,2013,강도,16,18,1
강북구,2014,강도,21,10,0.476190476
강북구,2015,강도,14,13,0.928571429
강서구,2010,강도,58,66,1
강서구,2011,강도,45,43,0.955555556
강서구,2012,강도,35,32,0.914285714
강서구,2013,강도,26,24,0.923076923
강서구,2014,강도,9,9,1
강서구,2015,강도,13,13,1
관악구,2010,강도,57,53,0.929824561
관악구,2011,강도,54,36,0.666666667
관악구,2012,강도,43,28,0.651162791
관악구,2013,강도,24,17,0.708333333
관악구,2014,강도,25,22,0.88
관악구,2015,강도,12,14,1
광진구,2010,강도,52,44,0.846153846
광진구,2011,강도,48,38,0.791666667
광진구,2012,강도,27,28,1
광진구,2013,강도,8,12,1
광진구,2014,강도,16,22,1
광진구,2015,강도,14,26,1
구로구,2010,강도,40,38,0.95
구로구,2011,강도,39,24,0.615384615
구로구,2012,강도,25,16,0.64
구로구,2013,강도,20,13,0.65
구로구,2014,강도,14,10,0.714285714
구로구,2015,강도,15,11,0.733333333
금천구,2010,강도,35,53,1
금천구,2011,강도,30,24,0.8
금천구,2012,강도,26,23,0.884615385
금천구,2013,강도,16,14,0.875
금천구,2014,강도,9,6,0.666666667
금천구,2015,강도,6,6,1
노원구,2010,강도,37,32,0.864864865
노원구,2011,강도,25,18,0.72
노원구,2012,강도,12,9,0.75
노원구,2013,강도,14,10,0.714285714
노원구,2014,강도,8,7,0.875
노원구,2015,강도,7,7,1
도봉구,2010,강도,17,18,1
도봉구,2011,강도,29,30,1
도봉구,2012,강도,14,13,0.928571429
도봉구,2013,강도,10,13,1
도봉구,2014,강도,11,15,1
도봉구,2015,강도,9,10,1
동대문구,2010,강도,57,69,1
동대문구,2011,강도,72,69,0.958333333
동대문구,2012,강도,26,15,0.576923077
동대문구,2013,강도,21,10,0.476190476
동대문구,2014,강도,13,8,0.615384615
동대문구,2015,강도,13,13,1
동작구,2010,강도,36,27,0.75
동작구,2011,강도,22,12,0.545454545
동작구,2012,강도,15,5,0.333333333
동작구,2013,강도,10,6,0.6
동작구,2014,강도,9,7,0.777777778
동작구,2015,강도,9,5,0.555555556
마포구,2010,강도,27,17,0.62962963
마포구,2011,강도,22,22,1
마포구,2012,강도,16,12,0.75
마포구,2013,강도,20,13,0.65
마포구,2014,강도,22,9,0.409090909
마포구,2015,강도,14,10,0.714285714
서대문구,2010,강도,24,27,1
서대문구,2011,강도,26,23,0.884615385
서대문구,2012,강도,15,18,1
서대문구,2013,강도,13,11,0.846153846
서대문구,2014,강도,4,7,1
서대문구,2015,강도,5,4,0.8
서초구,2010,강도,44,33,0.75
서초구,2011,강도,39,22,0.564102564
서초구,2012,강도,12,10,0.833333333
서초구,2013,강도,16,12,0.75
서초구,2014,강도,14,12,0.857142857
서초구,2015,강도,9,6,0.666666667
성동구,2010,강도,29,29,1
성동구,2011,강도,24,17,0.708333333
성동구,2012,강도,11,11,1
성동구,2013,강도,8,7,0.875
성동구,2014,강도,5,6,1
성동구,2015,강도,9,8,0.888888889
성북구,2010,강도,33,28,0.848484848
성북구,2011,강도,27,23,0.851851852
성북구,2012,강도,18,11,0.611111111
성북구,2013,강도,13,12,0.923076923
성북구,2014,강도,16,20,1
성북구,2015,강도,5,4,0.8
송파구,2010,강도,48,32,0.666666667
송파구,2011,강도,54,38,0.703703704
송파구,2012,강도,25,16,0.64
송파구,2013,강도,18,15,0.833333333
송파구,2014,강도,9,10,1
송파구,2015,강도,13,10,0.769230769
양천구,2010,강도,34,23,0.676470588
양천구,2011,강도,29,25,0.862068966
양천구,2012,강도,16,11,0.6875
양천구,2013,강도,16,7,0.4375
양천구,2014,강도,11,10,0.909090909
양천구,2015,강도,6,3,0.5
